Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,source_file,binary_label
80,18845,2,2,12,0,6,6,6.0,0.0,0,0,0.0,0.0,636.77368,212.2578933,6281.666667,10465.49026,18364,42,481,481.0,0.0,481,481,18803,18803.0,0.0,18803,18803,0,0,0,0,40,64,106.1289467,106.1289467,0,6,3.6,3.286335345,10.8,1,0,0,0,0,0,0,0,1,4.5,6.0,0.0,40,0,0,0,0,0,0,2,12,2,0,0,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,1
443,117556753,219,189,2325,375634,414,0,10.6164383562,52.8424949243,4380,0,1987.4814814815,960.6196116149,3215.1194240624,3.47066408,288837.230958231,1644301.31375051,10008122,0,117556753,539251.160550459,2223858.6664645,10031243,0,112071561,596125.324468085,2358566.74262485,10031107,1,0,0,0,0,6412,3924,1.8629299841,1.6077340959,0,4380,924.1051344743,1183.4331335427,1400513.98156671,0,0,0,1,0,0,0,0,0,926.3700980392,10.6164383562,1987.4814814815,6412,0,0,0,0,0,0,219,2325,189,375634,8192,1080,83,20,173044.083333333,519020.080821973,1821154,22852,9623351.66666667,1310412.97744208,10008122,5462242,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
443,274213,6,5,356,3782,212,0,59.3333333333,89.2248097037,2042,0,756.4,937.5194931307,15090.4588768585,40.1148012676,27421.3,42633.7969301091,95128,41,274213,54842.6,47639.1396889155,96105,101,188678,47169.5,53939.5675084627,95278,49,0,0,0,0,132,112,21.8808006914,18.2340005762,0,2042,344.8333333333,674.9063010163,455498.515151515,0,0,0,1,0,0,0,0,0,376.1818181818,59.3333333333,756.4,132,0,0,0,0,0,0,6,356,5,3782,8192,60,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
80,11037728,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.717950651,0.452991775,2759432.0,5516054.163,11000000,4,11000000,2759432.0,5516054.163,11000000,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.452991775,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,4215.0,0.0,4215,4215,11000000.0,0.0,11000000,11000000,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,1
53,48252,2,2,64,160,32,32,32.0,0.0,80,80,80.0,0.0,4642.29462,82.89811821,16084.0,27853.10904,48246,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,41.44905911,41.44905911,32,80,51.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,64.0,32.0,80.0,64,0,0,0,0,0,0,2,64,2,160,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv,0
53,31261,2,2,88,344,44,44,44.0,0.0,172,172,172.0,0.0,13819.1356642462,127.9549598541,10420.3333333333,18002.6614791628,31208,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,52,63.9774799271,63.9774799271,44,172,95.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,119.0,44.0,172.0,64,0,0,0,0,0,0,2,88,2,344,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
53,30449,1,1,52,113,52,52,52.0,0.0,113,113,113.0,0.0,5418.8971723209,65.6836020887,30449.0,0.0,30449,30449,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.8418010444,32.8418010444,52,113,72.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1,108.5,52.0,113.0,32,0,0,0,0,0,0,1,52,1,113,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
53,228,2,2,140,396,70,70,70.0,0.0,198,198,198.0,0.0,2350877.193,17543.85965,76.0,90.07219327,177,4,4,4.0,0.0,4,4,47,47.0,0.0,47,47,0,0,0,0,40,40,8771.929825,8771.929825,70,198,121.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,151.5,70.0,198.0,40,0,0,0,0,0,0,2,140,2,396,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv,0
80,353346,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,32922.40467,19.81061056,58891.0,143919.4143,352665,5,628,314.0,373.3523805,578,50,353296,117765.3333,203429.3156,352665,5,0,0,0,0,72,92,8.49026167,11.32034889,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,1
53,600,1,1,47,289,47,47,47.0,0.0,289,289,289.0,0.0,560000.0,3333.333333,600.0,0.0,600,600,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,1666.666667,1666.666667,47,289,127.6666667,139.7187651,19521.33333,0,0,0,0,0,0,0,0,1,191.5,47.0,289.0,40,0,0,0,0,0,0,1,47,1,289,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Morning.pcap_ISCX.csv,0
443,95325,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20.98085497,95325.0,0.0,95325,95325,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10.49042748,10.49042748,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,304,254,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv,0
80,60855,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32.86500698,60855.0,0.0,60855,60855,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.43250349,16.43250349,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,274,1086,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Tuesday-WorkingHours.pcap_ISCX.csv,0
80,73917,3,4,442,872,436,0,147.3333333,250.0106664,860,0,218.0,428.0093457,17776.69548,94.70081307,12319.5,13426.3801,26837,4,50164,25082.0,2493.25851,26845,23319,50590,16863.33333,28908.13623,50243,4,0,0,0,0,72,92,40.58606275,54.11475033,0,860,164.25,319.3698036,101997.0714,0,0,0,1,0,0,0,0,1,187.7142857,147.3333333,218.0,72,0,0,0,0,0,0,3,442,4,872,8192,31,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv,0
55601,12672,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,946.969697,157.8282828,12672.0,0.0,12672,12672,12672,12672.0,0.0,12672,12672,0,0.0,0.0,0,0,0,0,0,0,40,0,157.8282828,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,127,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,0
443,60912096,16,12,1556,2842,1239,0,97.25,309.4249505,1448,0,236.8333333,458.3751606,72.20240788,0.459678813,2256003.556,4231893.008,10200000,36,60900000,4060806.4,5076694.743,10200000,130,60900000,5532799.818,5210800.978,10200000,197,0,0,0,0,520,392,0.262673608,0.197005206,0,1448,151.6551724,373.4379157,139455.8768,0,0,0,1,0,0,0,0,0,157.0714286,97.25,236.8333333,520,0,0,0,0,0,0,16,1556,12,2842,29200,119,3,32,130195.1667,193759.576,525705,50856,10000000.0,261398.1901,10200000,9513972,BENIGN,Wednesday-workingHours.pcap_ISCX.csv,0
443,761211,9,10,703,3950,267,0,78.11111111,103.3022803,1448,0,395.0,587.483144,6112.62843,24.96022785,42289.5,60993.42231,200342,4,665676,83209.5,73495.87243,200351,197,666006,74000.66667,107610.4289,334126,4,0,0,0,0,296,328,11.82326582,13.13696202,0,1448,232.65,442.7331708,196012.6605,0,0,0,1,0,0,0,0,1,244.8947368,78.11111111,395.0,296,0,0,0,0,0,0,9,703,10,3950,29200,252,4,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,0
80,83813038,7,5,329,11595,329,0,47.0,124.3503116,7240,0,2319.0,3331.638186,142.2690346,0.143175815,7619367.091,25200000.0,83700000,2,83700000,13900000.0,34200000.0,83700000,4,145402,36350.5,64768.2276,133134,46,0,0,0,0,232,168,0.083519225,0.059656589,0,7240,917.2307692,2244.609066,5038269.859,0,0,0,0,1,0,0,0,0,993.6666667,47.0,2319.0,232,0,0,0,0,0,0,7,329,5,11595,251,235,1,32,1018.0,0.0,1018,1018,83700000.0,0.0,83700000,83700000,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,1
63081,871492,7,2,11607,26,4380,0,1658.142857,2117.853979,20,6,13.0,9.899494937,13348.37268,10.32711717,108936.5,307778.3843,870649,3,871492,145248.6667,355372.1989,870649,15,3,3.0,0.0,3,3,0,0,0,0,164,40,8.032202246,2.294914928,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,0,1292.555556,1658.142857,13.0,164,0,0,0,0,0,0,7,11607,2,26,8192,256,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,0
80,546066,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,21303.28568,14.65024374,78009.42857,206033.7965,545250,4,591,295.5,347.1894296,541,50,546023,136505.75,272496.2779,545250,4,0,0,0,0,72,112,5.493841404,9.15640234,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,1
3731,474,3,1,43,6,31,6,14.3333333333,14.4337567297,6,6,6.0,0.0,103375.52742616,8438.8185654009,158.0,166.4962462039,334,3,337,168.5,234.0523445727,334,3,0,0.0,0.0,0,0,0,0,0,0,60,20,6329.1139240506,2109.7046413502,6,31,11.0,11.1803398875,125.0,0,0,0,0,1,0,0,0,0,13.75,14.3333333333,6.0,60,0,0,0,0,0,0,3,43,1,6,1001,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
53,217,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,737327.1889,18433.17972,72.33333333,120.088856,211,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,40,9216.589862,9216.589862,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,0
443,4973746,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,33.97841386,1.20633422,994749.2,2195634.104,4922329,4,4973746,1243436.5,2452640.461,4922329,4,0,0.0,0.0,0,0,1,0,0,0,160,32,1.005278516,0.201055703,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,332,357,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv,0
53,160364,1,1,43,329,43,43,43.0,0.0,329,329,329.0,0.0,2319.7226310145,12.4716270485,160364.0,0.0,160364,160364,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,44,6.2358135242,6.2358135242,43,329,138.3333333333,165.1221769882,27265.3333333333,0,0,0,0,0,0,0,0,1,207.5,43.0,329.0,32,0,0,0,0,0,0,1,43,1,329,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
46648,33,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,60606.06061,33.0,0.0,33,33,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,30303.0303,30303.0303,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,114,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Morning.pcap_ISCX.csv,0
53,173,2,2,76,176,38,38,38.0,0.0,88,88,88.0,0.0,1456647.39884393,23121.387283237,57.6666666667,94.6854441471,167,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,11560.6936416185,11560.6936416185,38,88,58.0,27.3861278753,750.0,0,0,0,0,0,0,0,0,1,72.5,38.0,88.0,40,0,0,0,0,0,0,2,76,2,176,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
53,64753,1,1,59,141,59,59,59.0,0.0,141,141,141.0,0.0,3088.659985,30.88659985,64753.0,0.0,64753,64753,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,15.44329992,15.44329992,59,141,86.33333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,129.5,59.0,141.0,32,0,0,0,0,0,0,1,59,1,141,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Tuesday-WorkingHours.pcap_ISCX.csv,0
45802,2,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,15500000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,1,0,0,0,64,0,1000000.0,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,61,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Tuesday-WorkingHours.pcap_ISCX.csv,0
80,69321581,7,7,312,11595,288,0,44.57142857,107.379168,4344,0,1656.428571,1947.638216,171.7646919,0.20195731,5332429.308,19200000.0,69100000,5,69100000,11500000.0,28200000.0,69100000,5,69300000,11600000.0,28200000.0,69100000,48,0,0,0,0,184,232,0.100978655,0.100978655,0,4344,794.2,1525.681965,2327705.457,1,0,0,0,0,0,0,0,1,850.9285714,44.57142857,1656.428571,184,0,0,0,0,0,0,7,312,7,11595,0,235,4,20,17085.0,0.0,17085,17085,69100000.0,0.0,69100000,69100000,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv,1
443,4964296,3,1,31,0,31,0,10.3333333333,17.8978583449,0,0,0.0,0.0,6.2445913781,0.8057537262,1654765.33333333,2830319.31713196,4922849,4,4964296,2482148.0,3510281.708563,4964292,4,0,0.0,0.0,0,0,0,0,0,0,96,32,0.6043152947,0.2014384316,0,31,6.2,13.8636214605,192.2,0,0,0,0,1,0,0,0,0,7.75,10.3333333333,0.0,96,0,0,0,0,0,0,3,31,1,0,254,362,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv,0
7479,90,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11111.11111,11111.11111,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1047,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Tuesday-WorkingHours.pcap_ISCX.csv,0
53,161,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1291925.466,24844.7205,53.66666667,53.15386471,109,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,12422.36025,12422.36025,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,64,0,0,0,0,0,0,2,72,2,136,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Morning.pcap_ISCX.csv,0
53,31656,4,2,184,254,46,46,46.0,0.0,127,127,127.0,0.0,13836.23958,189.5375284,6331.2,13617.79212,30680,3,30686,10228.66667,17711.37421,30680,3,3,3.0,0.0,3,3,0,0,0,0,104,40,126.3583523,63.17917614,46,127,69.14285714,39.52395295,1562.142857,0,0,0,0,0,0,0,0,0,80.66666667,46.0,127.0,104,0,0,0,0,0,0,4,184,2,254,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,0
80,7952801,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.01780467,0.502967445,2650933.667,4590685.8,7951801,3,7952801,2650933.667,4590685.8,7951801,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.502967445,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1000.0,0.0,1000,1000,7951801.0,0.0,7951801,7951801,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,1
3986,42,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,190476.1905,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23809.52381,23809.52381,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,1
80,94575,4,4,436,859,436,0,109.0,218.0,859,0,214.75,429.5,13692.83637,84.58895057,13510.71429,18520.29733,47394,0,94570,31523.33333,13745.04399,47394,23455,71211,23737.0,40757.38318,70799,5,0,0,0,0,92,92,42.29447528,42.29447528,0,859,143.8888889,304.4751404,92705.11111,0,0,0,1,0,0,0,0,1,161.875,109.0,214.75,92,0,0,0,0,0,0,4,436,4,859,8192,31,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Tuesday-WorkingHours.pcap_ISCX.csv,0
53,61509,1,1,51,99,51,51,51.0,0.0,99,99,99.0,0.0,2438.667512,32.51556683,61509.0,0.0,61509,61509,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.25778341,16.25778341,51,99,67.0,27.71281292,768.0,0,0,0,0,0,0,0,0,1,100.5,51.0,99.0,32,0,0,0,0,0,0,1,51,1,99,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Tuesday-WorkingHours.pcap_ISCX.csv,0
